Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Comment,Task,Task Status,Task,Task Status,Task,Task Status
135930695,Search Food Details,food crud,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to search food details so that I can view the food details in more efficiency way.

",https://www.pivotaltracker.com/story/show/135930695,Gee Chun Seng
135930697,Update Food,food crud,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to edit the food details in food menu so that I able to adjust the price of the food for business strategy purpose.",https://www.pivotaltracker.com/story/show/135930697,Gee Chun Seng,,Design Edit Food UI,not completed,Edit Food Functionality coding,not completed,Functionality Testing,not completed
135930703,Display Food Menu,food crud,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to view the food menu so that I able to view the details of the food.",https://www.pivotaltracker.com/story/show/135930703,Gee Chun Seng,,Design Food Display UI,not completed,Food Display Functionality coding,not completed,Functionality Testing,not completed
135930711,Delete Food,food crud,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to remove the food that not popular on the food menu so that restaurant can reduce the cost on the food ingredient.",https://www.pivotaltracker.com/story/show/135930711,Gee Chun Seng,,Design Delete Food UI,not completed,Delete Food Functionality Coding,not completed,Functionality Testing,not completed
135930713,Add New Food,food crud,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to add a new food into the food menu so that the restaurant  is able to provide new food to customer.",https://www.pivotaltracker.com/story/show/135930713,Gee Chun Seng,,Design Add Food UI,not completed,Add Food functionality coding ,not completed,Functionality Testing,not completed
135930693,Search Seat Reservation Module,reservation,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a staff manager, I want to search customer reserved seat so that I can search any customer reserved seat that I want.",https://www.pivotaltracker.com/story/show/135930693,Gee Chun Seng,,Design Search Seat Reservation UI,not completed,Search Seat Reservation Coding,not completed,Basic Validation Coding,not completed
135930705,Check Seat Reservation Module,reservation,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a staff manager, I want to check the reserved seat so that I can know whether the customer reserved the seat or no.",https://www.pivotaltracker.com/story/show/135930705,Gee Chun Seng,,Design Check Seat Reservation UI,not completed,Check Seat Reservation Coding,not completed,Basic Validation Coding,not completed
135930707,Add Seat Reservation Module,reservation,3,"Dec 12, 2016","Dec 18, 2016",feature,2,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a staff manager, I want to add seat reservation so that customer don't have to wait for their seat.",https://www.pivotaltracker.com/story/show/135930707,Gee Chun Seng,,Design Add Seat UI,not completed,Add Reserve Seat Coding,not completed,Basic Validation Coding,not completed
135930701,Add order item,order,4,"Dec 19, 2016","Dec 25, 2016",feature,2,accepted,"Nov 29, 2016","Dec 24, 2016",,Gee Chun Seng,"As a cashier, i need to add new order item into a single order receipt, so that customer order can be recorded.",https://www.pivotaltracker.com/story/show/135930701,Gee Chun Seng,"Commit by Gee Chun Seng
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/72059c2fe9ed5503d516c26a69c3c6fac24a911a

Add files via upload

Developers: [Hamish Then Jin Jiat] 
Time: [17:00] 
Use_case: [#135930699], [Cancel Order Item]
Use_case: [#135930701], [Add Order Item] (Gee Chun Seng - Dec 18, 2016)",Design user interface.,not completed,Code functionalities.,not completed,Implement input validations,not completed
135930699,Cancel ordered item,order,4,"Dec 19, 2016","Dec 25, 2016",feature,2,accepted,"Nov 29, 2016","Dec 24, 2016",,Gee Chun Seng,"As a cashier, I need to cancel ordered item from the restaurant ordering system, so that it provide flexibility to the customer. ",https://www.pivotaltracker.com/story/show/135930699,Gee Chun Seng,"Commit by Gee Chun Seng
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/72059c2fe9ed5503d516c26a69c3c6fac24a911a

Add files via upload

Developers: [Hamish Then Jin Jiat] 
Time: [17:00] 
Use_case: [#135930699], [Cancel Order Item]
Use_case: [#135930701], [Add Order Item] (Gee Chun Seng - Dec 18, 2016)",Design user interface.,not completed,Code functionalities. ,not completed,Implement input validation.,not completed
135930689,Generate Receipt,payment,4,"Dec 19, 2016","Dec 25, 2016",feature,3,accepted,"Nov 29, 2016","Dec 24, 2016",,Gee Chun Seng,"As a cashier, I need to generate receipt, so that the company can keep track what had been sold to who.",https://www.pivotaltracker.com/story/show/135930689,Gee Chun Seng,,Design user interface,not completed,Code functionalities,not completed,Implement input validation,not completed
135930691,Calculate payment amount,payment,4,"Dec 19, 2016","Dec 25, 2016",feature,3,accepted,"Nov 29, 2016","Dec 24, 2016",,Gee Chun Seng,"As a cashier, I need to calculate total payment details, so that the receipt can be generated to the customer.",https://www.pivotaltracker.com/story/show/135930691,Gee Chun Seng,,Design user interface,not completed,Code functionalities ,not completed,Implement input validations,not completed
